Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Auto/Transportation,Gasoline,12/31/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$39.00 
Auto/Transportation,Gasoline,12/25/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$53.02 
Auto/Transportation,Gasoline,12/9/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$37.01 
Auto/Transportation,Gasoline,11/28/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$50.37 
Auto/Transportation,Gasoline,11/18/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$31.01 
Auto/Transportation,Gasoline,11/11/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$103.83 
Auto/Transportation,Gasoline,11/8/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$31.37 
Auto/Transportation,Gasoline,11/8/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$44.02 
Auto/Transportation,Gasoline,10/28/2022,"WEST PALM BEA,FL",AUTHENTIC SMOOTHIES,"AUTHENTIC SMOOTHIES LLC WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$17.10 
Auto/Transportation,Gasoline,10/25/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$50.00 
Auto/Transportation,Gasoline,10/24/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$26.35 
Auto/Transportation,Gasoline,10/18/2022,"RIVIERA BEACH,FL",EXXON,"RIVIERA PETROLEUM AND FOO RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$19.24 
Auto/Transportation,Gasoline,10/17/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$35.92 
Auto/Transportation,Gasoline,10/13/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$11.18 
Auto/Transportation,Gasoline,10/10/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$43.09 
Auto/Transportation,Gasoline,9/27/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$49.00 
Auto/Transportation,Gasoline,9/25/2022,"WEST PALM BEA,FL",KWIK PIC,"KWIK PIC FOOD STORE WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$49.20 
Auto/Transportation,Gasoline,9/13/2022,"PALM BEACH GA,FL",SUNOCO,"SUNOCO 0846265700 PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$31.03 
Auto/Transportation,Gasoline,9/12/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$43.01 
Auto/Transportation,Gasoline,8/29/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$67.70 
Auto/Transportation,Gasoline,8/29/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$46.00 
Auto/Transportation,Gasoline,8/14/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$40.88 
Auto/Transportation,Gasoline,8/12/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$41.00 
Auto/Transportation,Gasoline,8/11/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$66.02 
Auto/Transportation,Gasoline,8/5/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$47.61 
Auto/Transportation,Gasoline,7/29/2022,"WEST PALM BEA,FL",EXXON,"EXXONMOBIL    99738015 WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$67.00 
Auto/Transportation,Gasoline,7/27/2022,"RIVIERA BEACH,FL",SHELL,"SHELL OIL 57543663108 RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$85.07 
Auto/Transportation,Gasoline,7/19/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$47.03 
Auto/Transportation,Gasoline,7/11/2022,"FORT LAUDERDA,FL",SHELL,"SHELL OIL 57543663801 FORT LAUDERDA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$97.01 
Auto/Transportation,Gasoline,7/9/2022,"PALM SPRINGS ,FL",RACETRAC,"RACETRAC2380  00023804 PALM SPRINGS ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$60.01 
Auto/Transportation,Gasoline,7/1/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$60.01 
Auto/Transportation,Gasoline,6/23/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$85.01 
Auto/Transportation,Gasoline,6/20/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$15.14 
Auto/Transportation,Gasoline,6/20/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$70.01 
Auto/Transportation,Gasoline,6/11/2022,"WEST PALM BEA,FL",SHELL,"SHELL OIL 57543663603 WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$72.01 
Auto/Transportation,Gasoline,6/1/2022,"ORLANDO      ,FL",SHELL,"SHELL OIL 57543430003 ORLANDO      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$49.00 
Auto/Transportation,Gasoline,5/29/2022,"LANTANA      ,FL",SHELL,"SHELL OIL 57543662803 LANTANA      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$69.06 
Auto/Transportation,Gasoline,5/18/2022,"PALM SPRINGS ,FL",RACETRAC,"RACETRAC2380  00023804 PALM SPRINGS ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$59.05 
Auto/Transportation,Gasoline,5/14/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$12.18 
Auto/Transportation,Gasoline,5/13/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$25.18 
Auto/Transportation,Gasoline,5/12/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$26.12 
Auto/Transportation,Gasoline,5/10/2022,"WEST PALM BEA,FL",SHELL,"SHELL OIL 10052259008 WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$97.02 
